feature,importance
glideslope_error_deg_lag1,0.5121929762004997
airspeed_error_kts_lag1,0.24660020288679158
localizer_error_deg_lag1,0.22325399730799997
localizer_error_deg_lag2,0.01094020078982157
glideslope_error_deg_lag2,0.0016817675329870007
airspeed_error_kts_lag2,0.0010582511581270723
Rsp_amp_mean,0.0005040325840424579
BR_mean,0.00046383437141457606
Rsp_amp_std,0.0004334417272586131
BR_std,0.0004323890963416138
elevation_mean,0.0004297475822345582
HR_mean,0.0004095202409211018
HR_std,0.00031757290465080605
HR_min,0.00031112272618651256
HR_range,0.0002780190132650477
HR_max,0.00027642995175235994
aileron_mean,0.0002189127286278635
level,0.00019758119707762554
gear_mean,0.0
