sub_id,MAE_glideslope_error_deg,MAE_localizer_error_deg,MAE_airspeed_error_kts,MAE_total_error,RMSE_glideslope_error_deg,RMSE_localizer_error_deg,RMSE_airspeed_error_kts,RMSE_total_error,R2_glideslope_error_deg,R2_localizer_error_deg,R2_airspeed_error_kts,R2_total_error
3,0.031676785608121705,0.02665830906658137,0.0745756345650856,0.08159814956139969,0.05021847743116715,0.04528865209951123,0.1157104219648928,0.11789693696437377,0.9885763495609274,0.9797330760022562,0.9151302047417926,0.9453241746400838
4,0.05180510479630977,0.03205887337260588,0.09502289517238764,0.11430576306723443,0.09200361676233194,0.056992093818979316,0.13954102733613674,0.1699743038958866,0.9811803291211827,0.9863324991811803,0.9741926766084111,0.9719321230270368
5,0.05101410364755096,0.0582436984942353,0.09783283743500958,0.12508953023177083,0.10260724296165287,0.15315147781639704,0.15785006827130035,0.2011281712552527,0.9915774042982199,0.9674037297574118,0.9707993871646119,0.9887041382805276
6,0.017926787109208864,0.014987903734573763,0.0634898821288416,0.06505492022678785,0.03366439748425595,0.023047552565494903,0.10518644723771932,0.10254905753757665,0.9786388711344858,0.9909220156630806,0.9160382589929345,0.910416153020826
8,0.03415581742476945,0.0259352009085911,0.07314428476410362,0.08834015607569629,0.08148160785399827,0.043452609034338466,0.11932105894098344,0.1460933990485582,0.978378040384057,0.9809302057920104,0.955267415059688,0.9665818132031332
11,0.09870817815639546,0.13016009678680654,0.18094512351349476,0.24279111623279073,0.20620362944862652,0.43073053375049863,0.2959028914069649,0.3946738397923101,0.9840029038314018,0.9206308014785083,0.9675611905986298,0.9744999014886431
12,0.020805642987107905,0.015736858868013192,0.06728749136044301,0.06818488854633525,0.0375108048801448,0.023733259308464583,0.1113717896644421,0.10846897501308186,0.9606287313539131,0.9921744041363719,0.9427132028258964,0.9471105972652755
13,0.13675280455304428,0.14605234461712227,0.20721884259689127,0.2612005733896161,0.22585557198788242,0.24893625002711894,0.27860028401882997,0.3585766984400375,0.9830785735171003,0.9730500984822023,0.9642716655042182,0.9679154552061343
15,0.046984661645420235,0.04399640312051371,0.08470524712589056,0.10569592222084646,0.11228397615714791,0.12362245971488436,0.12985319551395996,0.1676588523018477,0.9841983929422653,0.9619369959313926,0.9682184227896246,0.9807282476717915
16,0.022501367592112798,0.01896507793779561,0.07082092810879421,0.07445299765649702,0.039342138337163615,0.028730530142345934,0.11213056719377477,0.11217882476494843,0.9695575086673572,0.9732586151308183,0.9559570950992253,0.9041364595564443
17,0.029034468676345956,0.02181755322842388,0.06961875827699082,0.07574383419670822,0.04682840567216735,0.03233303910686503,0.11381468806965513,0.11303157262396843,0.9888817093002426,0.9935009793069163,0.9021595904467662,0.9471617149543471
18,0.018512706231775266,0.01736377168257438,0.06390322578502584,0.06692809839391932,0.0342230677101323,0.028152772338706587,0.10804990657377733,0.10560641980884355,0.9625165856445258,0.9748908454217331,0.9336194969185354,0.9149673985853035
19,0.07823162712187809,0.07091009893539404,0.1142958651341573,0.16257028496439646,0.13293201013222983,0.14850304698235234,0.17446311226494202,0.2482819378093638,0.9800748524893453,0.9729328109062881,0.9581534458248634,0.9672645046486678
20,0.06363478617038304,0.05103666638653732,0.10099680134645661,0.12408373749623028,0.1264171452046229,0.09367901444646554,0.158596072877226,0.20120035770506023,0.9776869072544986,0.950420351494237,0.9604267999794073,0.9564423912602521
22,0.07003194355900338,0.05094006413888522,0.10888236993499233,0.13943713373925476,0.12188543241192952,0.08352519370838679,0.16175431603219,0.21410957294758148,0.9695834902691212,0.989555859069212,0.968853056466706,0.9609266266621213
23,0.07492115949529943,0.06749009221710166,0.09682094933086322,0.14671009834883697,0.1196548266401891,0.10903128782931491,0.1430171908348946,0.20939644513027497,0.9921437212574058,0.9913952960456114,0.9783165954628269,0.9802974462899927
24,0.07956080769010489,0.11938560573206232,0.12252542659050214,0.1821174531345806,0.13868402918724645,0.23634787598501866,0.1706172136401327,0.27920119652725867,0.9921716507897338,0.9759751432649288,0.9684475477622363,0.9807092195558074
