feature,importance
total_error_lag1,0.5210867551184919
glideslope_error_deg_lag1,0.19886351493414192
airspeed_error_kts_lag1,0.1424064691144816
localizer_error_deg_lag1,0.1258779102745057
localizer_error_deg_lag2,0.0044828485739605035
glideslope_error_deg_lag2,0.002225214443767719
airspeed_error_kts_lag2,0.0010236362102201142
total_error_lag2,0.0006129211930269174
BR_mean,0.0003900051448395473
Rsp_amp_mean,0.0003880236994840102
Rsp_amp_std,0.0003484053906833052
elevation_mean,0.0003376970931217237
BR_std,0.0003310620651600352
HR_mean,0.00031001946189410817
HR_min,0.0002873089447536308
HR_std,0.0002693242599373067
HR_max,0.000219957706619301
HR_range,0.00021240267659025167
aileron_mean,0.00016438796479754768
level,0.00016213572952265257
gear_mean,0.0
