group_run,sub_id,run_id,MAE_glideslope_error_deg,RMSE_glideslope_error_deg,R2_glideslope_error_deg,MAE_localizer_error_deg,RMSE_localizer_error_deg,R2_localizer_error_deg,MAE_airspeed_error_kts,RMSE_airspeed_error_kts,R2_airspeed_error_kts,MAE_total_error,RMSE_total_error,R2_total_error
11_1,11,1,0.0935426364844754,0.11731276129756696,0.9756561475910293,0.03706187443179536,0.04520938795944749,0.9922777724200156,0.04152243590973414,0.056273629258802534,0.9739878850707749,0.09661844462993657,0.12973031770466475,0.9638522224757723
11_10,11,10,0.058387709638516944,0.09125288250477069,0.8745273376656723,0.027493033910036466,0.03310516776311909,0.9667061727507037,0.023992968646341407,0.03375145190089222,0.9676118860910154,0.08636842631539694,0.11767760252078478,0.8796117657817435
11_11,11,11,0.028177906258475948,0.04818073661044774,0.0,0.1795131390826938,0.2506649289788358,0.9481099461409573,0.08952256366100808,0.1235519623630806,0.9781876020272623,0.20298051109415988,0.2531081905822298,0.9454482903623587
11_12,11,12,0.06838633180493107,0.18802569018989154,0.7699984112282607,0.021084523073080178,0.025412091010981516,0.9813745807444992,0.04290064325864936,0.09598353663913732,0.9795935016789921,0.171379429608156,0.30903171698860094,0.9116896731784281
11_2,11,2,0.06767033606561315,0.13016710159766243,0.9760808649330173,0.9002826562825539,1.939874322856953,-0.004513791065158035,0.19558639664556865,0.2910378956654619,0.9651486348165621,0.2760260443473939,0.3571942191727115,0.9550754013072859
11_3,11,3,0.03165396363246915,0.0331191211009376,0.0,0.01866570766719188,0.01881247270748203,0.0,0.06017946589372885,0.08738100648193656,0.9237847746027668,0.17962617521116542,0.19293100977864078,0.6284547379344032
11_4,11,4,0.011766023914159778,0.014453534415220038,0.0,0.03035806599565527,0.034500505031218605,0.0,0.16570308298454386,0.20520110339967007,0.942014757863972,0.15871549392645945,0.1951079970851812,0.8614321963758556
11_5,11,5,0.08309245751516947,0.13493366037425253,0.9881240861749324,0.1093962169895879,0.15403447951900448,0.9613680228687149,0.05258271351504233,0.06480505209946663,0.93549446024036,0.14453592922677036,0.1988393311006148,0.9839747754696504
11_6,11,6,0.01052861636702306,0.01469328050999969,0.0,0.15889834136077816,0.20326868350343325,0.9704152354085627,0.15979372567308828,0.19540505540206157,0.912567224678827,0.18535185658570846,0.24178833949336723,0.897017415473587
11_7,11,7,0.15088401639202492,0.2177109564717193,0.8823038889203202,0.02396744817233468,0.0341853729876717,0.8773940031108457,0.01081249091450931,0.013974686593416915,0.0,0.11260989220982964,0.21384429819285372,0.8998857664627558
11_8,11,8,0.052412405471819225,0.06154555289899703,0.984277571561473,0.013084385111311752,0.019745899713380106,0.9444272039728211,0.024069918563565964,0.03077888837236844,0.9891450180548822,0.07444034395160887,0.08931063219858221,0.9341027643663158
11_9,11,9,0.16158875271188455,0.2489650928160336,0.9682958741385342,0.13069192957745254,0.17590503065902646,0.9570235930659245,0.15975178583601798,0.1893610627511436,0.9056396650146856,0.23758091939173032,0.306319261669992,0.8514597460739317
12_1,12,1,0.00874745313177895,0.011052434344919263,0.9822786011264438,0.007520255447157186,0.008952756531164436,0.8616357761875216,0.007068818397645943,0.008776806672620008,0.9586416700121638,0.013306025950627942,0.016494553554468366,0.9493832375037675
12_10,12,10,0.02718885325076489,0.034326453402997704,0.9520532775385901,0.023555675963776966,0.02944162457475847,0.97499883923224,0.013930447849217494,0.01821483936019415,0.9284944809772072,0.05810808085064083,0.07387939115397854,0.9243071542746853
12_11,12,11,0.023898509863633545,0.032629282807425386,0.9845858777285288,0.013972465625382085,0.01848219521342847,0.974216466074474,0.01483892359698163,0.018620445596446437,0.957672098886423,0.03983265100597331,0.060102899292089035,0.9730563514898805
12_12,12,12,0.011326785173946759,0.014747777939572096,0.9818683514705042,0.007526395416526725,0.00930347062035115,0.9791616591680322,0.016841980327820635,0.01965953876363944,0.8298031514030308,0.015853407878214244,0.022099913255256662,0.930961496657429
12_2,12,2,0.013123257433108689,0.016576459897107338,0.912469455840591,0.02249018989322662,0.03653143724930185,0.9761001250339332,0.011249041970815197,0.013743072453370003,0.7582819321749712,0.028301748459886276,0.032780133145027944,0.860704350525881
12_3,12,3,0.021152720800404756,0.02489470742166569,0.9582384894452468,0.019728725387708694,0.025043160203837723,0.9552328806495707,0.007802998110712063,0.0095878304062722,0.9812701308393456,0.031402977100419956,0.03954001029270132,0.9225895486345667
12_4,12,4,0.08467846592995942,0.11289615041919056,0.9383916931859078,0.05715939241884017,0.07158051581723374,0.9759699488747355,0.12885967726982392,0.15651337410836305,0.7978662894713866,0.16246835592313835,0.20575993818809668,0.7522795151461308
