feature,importance
airspeed_error_kts_lag1,27.411080279118504
glideslope_error_deg_lag1,26.64450407974362
localizer_error_deg_lag1,16.688501532783334
glideslope_error_deg_lag2,15.931858307021074
localizer_error_deg_lag2,10.957933390884971
airspeed_error_kts_lag2,2.339916076837583
elevation_mean,0.011132154879644942
level,0.006828773436904824
HR_max,0.0018931816239939315
Rsp_amp_mean,0.0016506740926064173
HR_mean,0.0013139914772426775
aileron_mean,0.001099305642211605
HR_min,0.0008393280165623008
HR_range,0.0006992291874483921
BR_mean,0.000413070687605424
Rsp_amp_std,0.00028170990616224826
HR_std,5.491466051924479e-05
BR_std,0.0
gear_mean,0.0
