sub_id,MAE_glideslope_error_deg,MAE_localizer_error_deg,MAE_airspeed_error_kts,MAE_total_error,RMSE_glideslope_error_deg,RMSE_localizer_error_deg,RMSE_airspeed_error_kts,RMSE_total_error,R2_glideslope_error_deg,R2_localizer_error_deg,R2_airspeed_error_kts,R2_total_error
3,0.018127833283213438,0.021358116792501002,0.06587147244907939,0.07593960012477878,0.029301917193590966,0.03794141499939574,0.10706562578275194,0.11161994919636234,0.9961107138571866,0.9857755299373274,0.927337837419469,0.9509912140029626
4,0.02649886700489473,0.021758271588856674,0.07713214492282945,0.09883013247181967,0.0447237964788491,0.07216109020586477,0.11784929367638448,0.14290347294118597,0.9955528728310691,0.9780888054528386,0.9815925724499305,0.9801605974908985
5,0.04636354086995415,0.0503849929853298,0.07394685793271462,0.09442687403327378,0.154566421466927,0.15888662264334458,0.11909225303220294,0.14123076900280215,0.9808873801354967,0.9649167197036648,0.9833785295836673,0.9944302948465266
6,0.0117208148022823,0.013175999631128175,0.059237723364325784,0.06425340224590612,0.02278881021226509,0.019803226757053448,0.10195287421484309,0.1002198715500945,0.9902112821375578,0.9932978873762199,0.9211211065445339,0.9144393559396118
8,0.01821792843448559,0.01620582359686095,0.06322169227434979,0.08288015428577158,0.041741685916740726,0.02512327982490082,0.10685878150098424,0.13280791613194207,0.9943256536161604,0.9936251941644922,0.9641234863965004,0.9723834375177113
11,0.043087181847192756,0.0739644094591196,0.10108244518600758,0.14867853569531264,0.1233116422267876,0.4098879124813338,0.15677759372581776,0.2212147206613844,0.9942792007446083,0.9281261516821109,0.990893856767457,0.9919888802533514
12,0.012403953183194883,0.012647100243332023,0.06270907501199188,0.06589384402983225,0.02017969474274367,0.018773901472372644,0.10772366630273288,0.10441575061327413,0.9886054854352647,0.9951032073360708,0.9464047381720411,0.9509894450810147
13,0.05411502693545346,0.07251656608065085,0.13073579901858548,0.18431335274294838,0.12491757603300319,0.17476425321939612,0.18830431843204426,0.2597270684784533,0.9948236641127657,0.986717307841953,0.9836781184470731,0.9831668194716061
15,0.02155425635705885,0.027584164537265154,0.06934740836224278,0.08850223650110081,0.08483958165515328,0.11502518288338309,0.1137134330622497,0.13905588154500326,0.9909788328878325,0.9670470601770557,0.9756278576795787,0.9867429482030882
16,0.013578882242828615,0.01565202943933365,0.06473222101559109,0.071426645046053,0.025315314221565598,0.02466244210818504,0.10869763381948788,0.10978068041486976,0.9873953464421859,0.9802953478484572,0.9586126044008004,0.908191365280965
17,0.015963735113097954,0.015853289537673728,0.06067710378294762,0.06893154194028438,0.025453642761437904,0.022298445811083232,0.10250730344334617,0.1037407119259323,0.996715122563015,0.9969089640739636,0.9206345916221544,0.955491022088737
18,0.011777324921295965,0.015264755117333575,0.06002427684654599,0.06516940943388867,0.020123144083186273,0.02494956102052722,0.10382545639162624,0.10198753764211498,0.9870403598004697,0.9802796067481926,0.9387086135091661,0.9206952794545776
19,0.02262285696670234,0.033008414019321065,0.0801623613321267,0.10642294002613775,0.03968572450972294,0.10681276427702145,0.12271411845187118,0.15372168231713806,0.9982241305842086,0.9859970758296556,0.9792966065976862,0.9874512946563921
20,0.031884334492231464,0.028399953984397285,0.07645883210478226,0.09945128032656984,0.06721632914853339,0.06374875232543217,0.123858526996267,0.15716846585657115,0.9936919170594429,0.9770405121620579,0.9758638423768456,0.9734210781342171
22,0.0328500093013831,0.032695505059966795,0.08232212080131122,0.11243540629463927,0.06218689631620866,0.05188148135549937,0.12766263948094989,0.1693372298768491,0.9920822180548547,0.9959703950052723,0.9805986782012903,0.9755593000977181
23,0.042072388165674365,0.041045531494932834,0.07433340790443826,0.11298034725549931,0.0831539273297454,0.07158281775880353,0.12348953389636948,0.1654141623981894,0.996205784696597,0.9962910478627351,0.9838336756283964,0.9877049785319487
24,0.0326558686080156,0.08900057876183513,0.08148252596736377,0.12595874403333773,0.06277422242603012,0.20848190042348613,0.12294698443638861,0.1893231574218851,0.9983960900819739,0.9813063497260979,0.9836158773706626,0.9911300182669623
27,0.011529408167957266,0.0165443245259218,0.0620479197130758,0.06985236798000397,0.018767481779890897,0.02491569464097481,0.1031786648853394,0.10512987287939407,0.9974402740995252,0.9957656294874061,0.8238408540495457,0.9327458593657272
31,0.018500987710324674,0.013845979618295175,0.0643512152169531,0.07291874887661214,0.14140872830492054,0.020940920764314787,0.11656943589760889,0.14052162936078,0.9088113916086568,0.9898312609219837,0.9432922088977925,0.9587852689754761
32,0.014807001788454913,0.014677735255120731,0.06377249502730177,0.0688896234976794,0.02424297795037886,0.021311139115236466,0.10555350846869116,0.10403562406706983,0.9945983151583512,0.9942855724290228,0.9332751953835233,0.9321414495011838
33,0.022584796794891965,0.016622404572825968,0.07969979228503556,0.09295676184541374,0.05107661283740942,0.025212052080205074,0.11925708517980664,0.13658259184531898,0.9840845599706993,0.9935774707744661,0.9856363014088182,0.9669789600118385
35,0.017680103580880346,0.013366675926213713,0.06749388211534116,0.07200424910186899,0.047540240923442924,0.01896813177175783,0.11108982716751593,0.11859103002030323,0.9643549378072783,0.9969136506178894,0.8674526314106532,0.9352725051002901
37,0.015905256848555385,0.015294985002290864,0.06499521558676168,0.07240865141385372,0.1298579715441673,0.02749517456683521,0.11723072919209754,0.13558599324402063,0.908950912788432,0.984483769892715,0.9692432692207484,0.978630189094972
38,0.04732073276679506,0.024625581156780364,0.07854961326720297,0.10376963931662744,0.17515976298908778,0.042465298642732116,0.1207713851858346,0.16974267829771375,0.9924445706584606,0.9967143639844461,0.9865973600075347,0.9909105763357751
43,0.02535384412401472,0.04637126278315932,0.07116587330891483,0.09974775664717553,0.04719708730644587,0.07675686638043369,0.1162896581232863,0.14585045874188582,0.9977501631597244,0.9950370151274307,0.9794904610288225,0.9894463558754483
