output,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
glideslope_error_deg,0.025167077372433358,0.012478165619223281,0.06670124761432937,0.046598695844060185,0.9849584472116729,0.023520217694300544
localizer_error_deg,0.029674578046817845,0.020944630507792075,0.07459401310118292,0.08611235082849546,0.9853358358465408,0.014758552293082315
airspeed_error_kts,0.07342213899191283,0.015041879596058818,0.11859921322985993,0.01814714342465982,0.9553660349829876,0.039558614682993855
total_error,0.09276168980665556,0.028212502213656065,0.14238835625722152,0.03821922852428285,0.9643939397431599,0.0262966057409436
overall_mean_across_outputs,0.055256371054454904,,0.10057070755064844,,0.9725135644460903,
