feature,importance
glideslope_error_deg_lag1,39.610053649843515
airspeed_error_kts_lag1,26.973298055545225
localizer_error_deg_lag1,17.851851600262638
glideslope_error_deg_lag2,8.06898744568286
localizer_error_deg_lag2,6.767257042023804
airspeed_error_kts_lag2,0.712433416340243
elevation_mean,0.005774427938525763
level,0.004709209226714456
HR_mean,0.0015936866717924446
HR_max,0.0015798697646038737
aileron_mean,0.0005838441227851116
HR_min,0.0004970776717929708
Rsp_amp_mean,0.0004235215857294496
HR_std,0.0003736778914735927
Rsp_amp_std,0.000272894003895275
BR_mean,0.00026471736215885963
BR_std,4.586406222275538e-05
HR_range,0.0
gear_mean,0.0
