sub_id,MAE_glideslope_error_deg,MAE_localizer_error_deg,MAE_airspeed_error_kts,MAE_total_error,RMSE_glideslope_error_deg,RMSE_localizer_error_deg,RMSE_airspeed_error_kts,RMSE_total_error,R2_glideslope_error_deg,R2_localizer_error_deg,R2_airspeed_error_kts,R2_total_error
3,0.03480257848154,0.02883569946622509,0.07667830680950653,0.08815632633904268,0.052917385026424915,0.048375493887041154,0.11846160006136683,0.1275128543621285,0.9873154643728249,0.976876164438734,0.9110464287560884,0.9360415045904119
4,0.05083842970241254,0.02871775150984285,0.10052860422012325,0.12030823731751622,0.0825037555191777,0.09758961888659086,0.14530201787006475,0.17563600874934499,0.9848661418417249,0.9599255909246126,0.9720177634859029,0.970031145685708
5,0.05528710939305677,0.07343824524487928,0.0992768105672157,0.1127284021944144,0.10709188797582563,0.1875151504493618,0.15185055603081984,0.17135265691590298,0.9908250634887126,0.9511349608112251,0.9729768985905857,0.9918011065376324
6,0.018877214006248838,0.017517542254944667,0.06781350146369196,0.06911756147598505,0.03405392515517702,0.02621529589473064,0.10666435979481222,0.1072193338731075,0.9781416758347299,0.9882550998550236,0.9136622902448439,0.9020707178560251
8,0.0354511891410687,0.022275585813433366,0.07397483264063846,0.09087637739748627,0.07853424130562445,0.032619237274060124,0.12110756168935774,0.15565949499335505,0.9799139760387271,0.9892536274091381,0.9539178940477895,0.9620621312859469
11,0.07910177726016815,0.11601041936685448,0.14723004179005453,0.19109460638088463,0.15851655871265427,0.4264589872883241,0.2140001711479971,0.2863294338315132,0.9905463870732565,0.9221972014412545,0.9830334035780917,0.9865786202291773
12,0.021396903751347552,0.016746613221237546,0.07248099104013554,0.07140600491815445,0.03590320935664424,0.02414980606408385,0.11562487183511916,0.11198180065085474,0.9639310760526443,0.9918972965927081,0.9382543063576148,0.9436294225928722
13,0.10032416947854265,0.10823216395709961,0.2033394787016371,0.2528281228144779,0.16778661830809458,0.20213908905990705,0.27085692475271717,0.3504366766185494,0.990661223218093,0.9822302423484301,0.9662301175735822,0.9693556185433817
15,0.037536742004562355,0.038739224503098586,0.0834260854545655,0.09798460676538397,0.09628093003795402,0.12236061288748994,0.128330852257149,0.15779380637622187,0.9883816021288678,0.9627100683208006,0.9689592418644023,0.9829294256690385
16,0.02528345837665715,0.022356614931158866,0.07360519589813126,0.07822585858993616,0.04030214710961749,0.032851392491490675,0.11476202364844702,0.1187086809541668,0.9680536947818589,0.9650373630152717,0.9538656598677748,0.8926513341552189
17,0.03254633304714624,0.02035721876345276,0.0689773821599058,0.07847812456593069,0.05246632517372028,0.02899324761000392,0.11014765643796624,0.11850066314204796,0.986043369712031,0.9947742504264364,0.9083627263822454,0.9419247972379935
18,0.02013625705248039,0.019533308093664183,0.07007591752526365,0.07097410629872669,0.03466416998626467,0.030262295908639308,0.11092943263931765,0.11056426048289342,0.9615441086417241,0.9709869423682145,0.9300342761534062,0.906796041646744
19,0.040896154916188726,0.04718728486239071,0.1025493887520173,0.12824097591254632,0.06667592141570063,0.11839708070479174,0.1490587091528089,0.18379949980608465,0.9949871991243179,0.9827950103304884,0.9694530972193182,0.9820602116649415
20,0.05440894640531396,0.04019981639542689,0.10055440963440641,0.12183173445578896,0.1095165602306209,0.08483100774550818,0.15358310567116826,0.19702962362608076,0.9832541420602876,0.9593436796445833,0.9628889533876284,0.9582295082622161
22,0.061888138977731884,0.045756697068541276,0.10794661084895675,0.13816099882151298,0.1099511384032408,0.07009744030813032,0.1594267807886587,0.21103771293999013,0.9752482885546235,0.9926439942611378,0.96974297432695,0.9620397660935074
23,0.05964134652830505,0.059021129067918406,0.09989604206382685,0.13366179741783019,0.09794339203826297,0.10214382904112355,0.1447125885390403,0.20677986962443165,0.9947361110138533,0.9924480706637768,0.9777994563463551,0.9807867680654563
