sub_id,MAE_glideslope_error_deg,MAE_localizer_error_deg,MAE_airspeed_error_kts,MAE_total_error,RMSE_glideslope_error_deg,RMSE_localizer_error_deg,RMSE_airspeed_error_kts,RMSE_total_error,R2_glideslope_error_deg,R2_localizer_error_deg,R2_airspeed_error_kts,R2_total_error
3,0.01886675961490826,0.022524248860260186,0.06654429002409226,0.0717953307175315,0.030101413432937024,0.03810489205307795,0.10738313865551888,0.10793354840500993,0.9958955818427823,0.9856526887574623,0.9269062258420788,0.9541749218974012
4,0.027967718908437363,0.021319183218097802,0.07756803258102314,0.09194729936219827,0.04676671091003623,0.06245395771705136,0.11824669357958001,0.1371271712306756,0.9951373179039065,0.9835873082521089,0.981468219671084,0.9817320398318622
5,0.04427118134998866,0.060159754505074825,0.07434775521125024,0.08651595391077056,0.1357152603393501,0.20707935132735278,0.11967888507555663,0.1360082821221174,0.9852650968414305,0.9404064691261111,0.9832143761282361,0.9948345963152528
6,0.011314548657378987,0.012765277150726242,0.060106041093655,0.05975787077204994,0.022431701347443274,0.01979359851976993,0.10218867092594465,0.09840811947518771,0.9905156638879778,0.9933044028642719,0.9207558222476028,0.9175048859985342
8,0.01919106881488923,0.016428797833869642,0.06342557372281236,0.07386107551334092,0.04458299703512298,0.025775433779825718,0.10745158633640571,0.1262805700884116,0.9935268690699058,0.9932899422790349,0.9637243285080525,0.9750313671869634
11,0.04502724742998539,0.07760519603006347,0.09984977741251234,0.14595265335360288,0.12371943935157902,0.4104823304293365,0.1551256254960947,0.22380542360228753,0.9942413003000078,0.9279175381437472,0.9910847489028844,0.9918001408992172
12,0.012474871218754034,0.013028885800767588,0.06240634384874096,0.06295970054547054,0.021189309212928394,0.01893671768114192,0.10751659174386098,0.10337034262924746,0.987436800962604,0.9950179044061936,0.9466105898417418,0.9519659172739039
13,0.055061395788909624,0.07309970147088612,0.1305223481362712,0.16729534325347856,0.12411799780014925,0.18291434610171403,0.1886603942886787,0.24348189690073566,0.9948897178971401,0.9854495496932072,0.9836163320475876,0.985206698562406
15,0.02356898191201261,0.028247280631325398,0.07072057651387226,0.07861750533603122,0.08447594043262462,0.11501066657563777,0.11397012814283092,0.12852308663395215,0.9910560005910912,0.967055377048529,0.9755176988319088,0.9886752004923202
16,0.013966338015497902,0.015722519107439676,0.06447426752900325,0.06623683613020212,0.025903033712333528,0.02495845925298985,0.108243195189965,0.10723635939078828,0.9868032943387187,0.9798194890218974,0.958957942468454,0.9123976380699489
17,0.01713063178389241,0.015630301813049946,0.06115374291198164,0.06569770768593768,0.027203462495516032,0.02185115088865608,0.10236632183051687,0.10293497124220999,0.9962479583440871,0.9970317293581819,0.9208527491301544,0.9561797280591923
18,0.011524104923830557,0.015480434792284677,0.06063213205758136,0.062458700569454274,0.02102224620515365,0.02463748070926326,0.10432456682044346,0.10177409156750294,0.9858564149317557,0.9807698643358786,0.9381179163853774,0.9210268801273336
19,0.024467701164171962,0.035240987258944485,0.08044450806139207,0.09428905052219533,0.04226420289848171,0.11598541215328262,0.12283367045861755,0.1407084791998959,0.9979858687557731,0.9834887798525905,0.9792562471356241,0.989485970223942
20,0.03324665424520742,0.029982838528630453,0.07727088298183914,0.0871762512496471,0.06985049475521132,0.06460872608316168,0.12434577981984518,0.14764041900307975,0.9931878094679105,0.9764168847553413,0.9756735681397469,0.976545991910741
22,0.03616188079665259,0.03315270462980327,0.08261233796427586,0.1010611508463821,0.06647400970081574,0.053068471770575304,0.12814159297104288,0.15635050290324407,0.990952897200689,0.9957839000015228,0.9804528287671653,0.9791643381037312
23,0.047862894274141345,0.04017866747281006,0.07755851176707533,0.0936653103349408,0.11198800083273167,0.07304331586261864,0.1286171436759773,0.15630941857595654,0.9931182415649269,0.9961381570381589,0.9824632663136553,0.9890212168682915
24,0.033024116915986806,0.08769858412057711,0.0828028476674399,0.1118333938015811,0.06020742750432362,0.20068831013507527,0.12440123350947274,0.1763659410169373,0.9985245740012356,0.9826778597237298,0.9832259937333372,0.9923025887940822
27,0.011541378455066045,0.017203473810615932,0.06236194363717915,0.0653494569760522,0.01945394643829552,0.025500652238341713,0.103372600280321,0.10301569801063094,0.9972495934812372,0.9955644708814985,0.8231780115797908,0.9354236389690497
31,0.01835437935520772,0.014786459975270333,0.06504560169773516,0.06868715092261928,0.1436175924382181,0.022148901819370508,0.11679010917332518,0.13738910384050498,0.9059403325585305,0.9886242522623264,0.9430773028425469,0.9606023155281413
32,0.015685507732139475,0.015651288300891554,0.06353839449564673,0.06603911572837896,0.025755200301405035,0.023156170743730983,0.10521378719951995,0.10225529662581843,0.9939034074290776,0.993253276828369,0.9337040083659347,0.9344440597075978
33,0.02434153890398223,0.017449115615286503,0.07991389835690052,0.08656020327158703,0.05587515217787146,0.028022870738161173,0.11955117765260029,0.1331082834586296,0.9809536434521595,0.9920655843951081,0.9855653712126344,0.9686375332937561
35,0.018032269820607894,0.014110012687892894,0.06779061019308172,0.07065778710006708,0.04645964858613772,0.019732016144729258,0.11125891717307258,0.12015546599128572,0.965956950109642,0.9966600582247165,0.867048823197693,0.9335534891107341
37,0.016588677885204253,0.01587050570552508,0.06474257459870926,0.0674965681603996,0.13801356324141134,0.0273546881858295,0.1172930321854288,0.13363341876542512,0.8971553027062575,0.9846419249264409,0.969210568825491,0.9792412507124651
38,0.05025425806608832,0.026928881986031956,0.07868664741244938,0.09127232240852359,0.1775180084716574,0.043310374648720264,0.12077171105452907,0.1578628941010182,0.992239757643956,0.9965822919122707,0.9865972876806888,0.9921383380247344
