time_dn,glideslope_error_deg,localizer_error_deg,airspeed_error_kts,total_error
738388.514538365,-0.1308,-0.0082,-0.4078,0.5468
738388.514540776,-0.1307,-0.0095,-3,3.1402
738388.5145428,-0.1314,-0.0095,-3,3.1409
738388.514545139,-0.1324,-0.0098,-3,3.1422
738388.514547459,-0.1336,-0.0102,-3,3.1438
738388.514549782,-0.135,-0.0108,-3,3.1458
738388.514552098,-0.1364,-0.0112,-2.7131,2.8607
738388.514554395,-0.1379,-0.0117,-2.2396,2.3892
738388.5145564,-0.1395,-0.0128,-1.8959,2.0482
738388.514558392,-0.1408,-0.0127,-1.6214,1.7749
738388.514560836,-0.1428,-0.0131,-1.3681,1.524
738388.514562891,-0.1448,-0.0133,-1.211,1.3691
738388.514564984,-0.1468,-0.0142,-1.0969,1.2579
738388.51456701,-0.1487,-0.0141,-1.019,1.1818
738388.514569028,-0.1508,-0.0141,-0.9663,1.1312
738388.514571009,-0.1532,-0.0142,-0.931,1.0984
738388.514573365,-0.1558,-0.0148,-0.9048,1.0754
738388.514575752,-0.1587,-0.0152,-0.8877,1.0616
738388.514577889,-0.1616,-0.0153,-0.8775,1.0544
738388.514580024,-0.1645,-0.016,-0.8688,1.0493
738388.514582056,-0.1672,-0.016,-0.861,1.0442
738388.514584235,-0.1702,-0.016,-0.8523,1.0385
738388.514586368,-0.1735,-0.0167,-0.8421,1.0323
738388.514588724,-0.1768,-0.0162,-0.8301,1.0231
738388.51459078,-0.1798,-0.0172,-0.8189,1.0159
738388.514592828,-0.1829,-0.0172,-0.8065,1.0066
738388.514594828,-0.1859,-0.0173,-0.7942,0.9974
738388.514597246,-0.1892,-0.0177,-0.7788,0.9857
738388.514599308,-0.192,-0.0175,-0.7651,0.9746
738388.514601359,-0.1949,-0.0175,-0.7515,0.9639
738388.514603428,-0.1975,-0.0174,-0.7382,0.9531
738388.514605474,-0.2002,-0.0174,-0.7249,0.9425
738388.514607864,-0.2031,-0.0178,-0.7098,0.9307
738388.514609927,-0.2055,-0.0178,-0.6971,0.9204
738388.514611975,-0.2078,-0.0177,-0.6848,0.9103
738388.514614016,-0.2101,-0.0177,-0.673,0.9008
738388.514616082,-0.2121,-0.0177,-0.6617,0.8915
738388.514618341,-0.2141,-0.0186,-0.6507,0.8834
738388.514620743,-0.2165,-0.0179,-0.6375,0.8719
738388.514622745,-0.2183,-0.0188,-0.6275,0.8646
738388.514625073,-0.2199,-0.0182,-0.617,0.8551
738388.514627092,-0.2213,-0.0182,-0.6084,0.8479
738388.514629181,-0.2225,-0.0182,-0.6004,0.8411
738388.514631174,-0.2236,-0.0181,-0.5931,0.8348
738388.514633213,-0.2244,-0.019,-0.5867,0.8301
738388.514635229,-0.225,-0.019,-0.581,0.825
738388.514637274,-0.2255,-0.019,-0.576,0.8205
738388.514639315,-0.2258,-0.0189,-0.5718,0.8165
738388.514641357,-0.2259,-0.0189,-0.5682,0.813
738388.514643399,-0.2258,-0.0188,-0.5657,0.8103
738388.514645505,-0.2253,-0.0196,-0.5639,0.8088
738388.514647515,-0.2247,-0.0195,-0.563,0.8072
738388.514649896,-0.2237,-0.019,-0.563,0.8057
738388.514651933,-0.2226,-0.019,-0.5639,0.8055
738388.514653988,-0.2214,-0.0199,-0.5657,0.807
738388.514656069,-0.22,-0.0198,-0.5684,0.8082
738388.514658052,-0.2183,-0.0198,-0.5717,0.8098
738388.514660127,-0.2164,-0.0198,-0.5759,0.8121
738388.514662127,-0.2144,-0.0197,-0.5808,0.8149
738388.514664475,-0.2119,-0.0194,-0.5872,0.8185
738388.514666543,-0.2092,-0.0201,-0.5937,0.823
738388.51466894,-0.2062,-0.0196,-0.6021,0.8279
738388.514671032,-0.2035,-0.0195,-0.61,0.833
738388.514673135,-0.2003,-0.0193,-0.6185,0.8381
738388.514675145,-0.1973,-0.0193,-0.6273,0.8439
738388.514677588,-0.1935,-0.0197,-0.6384,0.8516
738388.514679588,-0.1903,-0.0197,-0.6483,0.8583
738388.514681704,-0.1869,-0.0196,-0.6586,0.8651
738388.514683686,-0.1834,-0.0186,-0.6691,0.8711
738388.514685686,-0.1801,-0.0188,-0.6798,0.8787
738388.514688221,-0.1757,-0.0192,-0.6932,0.8881
