output,MAE,RMSE,R2
glideslope_error_deg,0.0963671529010096,0.19355604129039922,0.9803758096162101
localizer_error_deg,0.0739891945909973,0.2113155385636037,0.9500848013149543
airspeed_error_kts,0.0878649908666219,0.1548026889626678,0.9768415424254723
total_error,0.1470066026859771,0.26609472378307025,0.9817514524500647
overall_mean_across_outputs,0.10130698526115148,0.20644224814993523,0.9722634014516753
